model,dataset,mode,prompt_version,opt_seed,ref_field,eval_code_rev,timestamp_utc,score_file,overall_acc,parsed_rate,n,acc:MINE,f1:MINE,n:MINE,pred_frac:MINE,acc:PERSON_k,f1:PERSON_k,n:PERSON_k,pred_frac:PERSON_k,acc:SHARED,f1:SHARED,n:SHARED,pred_frac:SHARED,acc:AMBIGUOUS,f1:AMBIGUOUS,n:AMBIGUOUS,pred_frac:AMBIGUOUS,macro_f1,abstain_precision,abstain_recall,over_abstention_rate,acc:taxonomy=A,n:taxonomy=A,acc:taxonomy=B,n:taxonomy=B,acc:taxonomy=C,n:taxonomy=C,acc:taxonomy=D,n:taxonomy=D,acc:source_dataset=ego4d,n:source_dataset=ego4d,acc:source_dataset=egolife,n:source_dataset=egolife,acc:source_dataset=hd_epic,n:source_dataset=hd_epic,serving_artifact_suspected,exclude_from_main_table,acc:source_dataset=ego4d_fho,n:source_dataset=ego4d_fho,acc:source_dataset=epic_kitchens,n:source_dataset=epic_kitchens
T20260719-002546,EgoOwn_Single,single,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:26:11+00:00,EgoSweep_Claude/T20260719-002546/EgoSweep_Claude_EgoOwn_Single_score.json,0.347179169249845,1.0,3226,0.45021645021645024,0.4842,1155,0.3078115313081215,0.11683006535947713,0.1827,1224,0.10570365778053317,0.6169296987087518,0.3941,697,0.4603223806571606,0.18,0.0969,150,0.12616243025418475,0.2895,0.0663,0.18,0.1235,0.3888888888888889,1584.0,0.3071271124173402,1361.0,0.3502824858757062,177.0,0.23076923076923078,104.0,0.28896585848589806,2021.0,0.4128843338213763,683.0,0.48659003831417624,522.0,,,,,,
T20260719-002546,EgoOwn,sparse,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:26:45+00:00,EgoSweep_Claude/T20260719-002546/EgoSweep_Claude_EgoOwn_score.json,0.3653548187170747,1.0,3227,0.44982698961937717,0.4858,1156,0.30523706228695385,0.14133986928104575,0.2186,1224,0.11124883792996591,0.6628407460545194,0.4145,697,0.47474434459250076,0.16,0.0958,150,0.10876975519057949,0.3037,0.0684,0.16,0.1063,0.40214646464646464,1584.0,0.32819383259911894,1362.0,0.4293785310734463,177.0,0.18269230769230768,104.0,0.31964374072241464,2021.0,0.465592972181552,683.0,0.4110898661567878,523.0,,,,,,
EgoSweep_GPT,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:24:41+00:00,EgoSweep_GPT/EgoSweep_GPT_EgoOwn_Blind_score.json,0.28726371242640225,1.0,3227,0.3546712802768166,0.4707,1156,0.18159281066005578,0.12009803921568628,0.198,1224,0.08088007437248218,0.4146341463414634,0.4961,697,0.145026340254106,0.54,0.0786,150,0.592500774713356,0.3109,0.0424,0.54,0.5951,0.29987373737373735,1584.0,0.24522760646108663,1362.0,0.4293785310734463,177.0,0.40384615384615385,104.0,0.22018802572983673,2021.0,0.5051244509516838,683.0,0.26195028680688337,523.0,,,,,,
EgoSweep_GPT,EgoOwn_Method,sparse,v2-2026-07-04+evidence_cot-v1,0,human_label,492a050,2026-07-21T07:27:46+00:00,EgoSweep_GPT/EgoSweep_GPT_EgoOwn_Method_score.json,0.24945770065075923,1.0,3227,0.2820069204152249,0.3918,1156,0.1574217539510381,0.10294117647058823,0.1781,1224,0.05918810040285095,0.33428981348637016,0.424,697,0.12457390765416795,0.8,0.1054,150,0.658816237991943,0.2748,0.0564,0.8,0.6519,0.2569444444444444,1584.0,0.22026431718061673,1362.0,0.2542372881355932,177.0,0.5096153846153846,104.0,0.2102919346857991,2021.0,0.32650073206442165,683.0,0.30019120458891013,523.0,,,,,,
EgoSweep_GPT,EgoOwn_Single_Method,single,v2-2026-07-04+evidence_cot-v1,0,human_label,492a050,2026-07-21T07:37:21+00:00,EgoSweep_GPT/EgoSweep_GPT_EgoOwn_Single_Method_score.json,0.19745815251084936,1.0,3226,0.21558441558441557,0.3318,1155,0.10725356478611284,0.05718954248366013,0.1057,1224,0.030998140111593304,0.2783357245337159,0.3724,697,0.1069435833849969,0.8266666666666667,0.0959,150,0.754804711717297,0.2265,0.0509,0.8267,0.7513,0.20075757575757575,1584.0,0.16678912564290962,1361.0,0.1864406779661017,177.0,0.5673076923076923,104.0,0.16724393864423553,2021.0,0.30307467057101023,683.0,0.17624521072796934,522.0,,,,,,
EgoSweep_GPT,EgoOwn_Single,single,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:23:50+00:00,EgoSweep_GPT/EgoSweep_GPT_EgoOwn_Single_score.json,0.3549287042777433,1.0,3226,0.45194805194805193,0.522,1155,0.2619342839429634,0.09313725490196079,0.1622,1224,0.056416615003099815,0.667144906743185,0.5121,697,0.34686918784872905,0.29333333333333333,0.0715,150,0.33477991320520767,0.317,0.0407,0.2933,0.3368,0.3939393939393939,1584.0,0.31080088170462894,1361.0,0.4067796610169492,177.0,0.25,104.0,0.3082632360217714,2021.0,0.4084919472913616,683.0,0.46551724137931033,522.0,,,,,,
EgoSweep_GPT,EgoOwn,sparse,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:24:19+00:00,EgoSweep_GPT/EgoSweep_GPT_EgoOwn_score.json,0.4403470715835141,1.0,3227,0.5865051903114187,0.588,1156,0.3563681437867989,0.18790849673202614,0.291,1224,0.11062906724511931,0.6886657101865137,0.5234,697,0.3523396343352959,0.22,0.09,150,0.18066315463278587,0.3731,0.0566,0.22,0.1787,0.4797979797979798,1584.0,0.4104258443465492,1362.0,0.4406779661016949,177.0,0.23076923076923078,104.0,0.3701138050470064,2021.0,0.5095168374816984,683.0,0.621414913957935,523.0,,,,,,
T20260719-002324,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:24:41+00:00,EgoSweep_GPT/T20260719-002324/EgoSweep_GPT_EgoOwn_Blind_score.json,0.28726371242640225,1.0,3227,0.3546712802768166,0.4707,1156,0.18159281066005578,0.12009803921568628,0.198,1224,0.08088007437248218,0.4146341463414634,0.4961,697,0.145026340254106,0.54,0.0786,150,0.592500774713356,0.3109,0.0424,0.54,0.5951,0.29987373737373735,1584.0,0.24522760646108663,1362.0,0.4293785310734463,177.0,0.40384615384615385,104.0,0.22018802572983673,2021.0,0.5051244509516838,683.0,0.26195028680688337,523.0,,,,,,
T20260719-002324,EgoOwn_Single,single,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:23:50+00:00,EgoSweep_GPT/T20260719-002324/EgoSweep_GPT_EgoOwn_Single_score.json,0.3549287042777433,1.0,3226,0.45194805194805193,0.522,1155,0.2619342839429634,0.09313725490196079,0.1622,1224,0.056416615003099815,0.667144906743185,0.5121,697,0.34686918784872905,0.29333333333333333,0.0715,150,0.33477991320520767,0.317,0.0407,0.2933,0.3368,0.3939393939393939,1584.0,0.31080088170462894,1361.0,0.4067796610169492,177.0,0.25,104.0,0.3082632360217714,2021.0,0.4084919472913616,683.0,0.46551724137931033,522.0,,,,,,
T20260719-002324,EgoOwn,sparse,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:24:19+00:00,EgoSweep_GPT/T20260719-002324/EgoSweep_GPT_EgoOwn_score.json,0.4403470715835141,1.0,3227,0.5865051903114187,0.588,1156,0.3563681437867989,0.18790849673202614,0.291,1224,0.11062906724511931,0.6886657101865137,0.5234,697,0.3523396343352959,0.22,0.09,150,0.18066315463278587,0.3731,0.0566,0.22,0.1787,0.4797979797979798,1584.0,0.4104258443465492,1362.0,0.4406779661016949,177.0,0.23076923076923078,104.0,0.3701138050470064,2021.0,0.5095168374816984,683.0,0.621414913957935,523.0,,,,,,
T20260721-071513,EgoOwn_Method,sparse,v2-2026-07-04+evidence_cot-v1,0,human_label,492a050,2026-07-21T07:27:46+00:00,EgoSweep_GPT/T20260721-071513/EgoSweep_GPT_EgoOwn_Method_score.json,0.24945770065075923,1.0,3227,0.2820069204152249,0.3918,1156,0.1574217539510381,0.10294117647058823,0.1781,1224,0.05918810040285095,0.33428981348637016,0.424,697,0.12457390765416795,0.8,0.1054,150,0.658816237991943,0.2748,0.0564,0.8,0.6519,0.2569444444444444,1584.0,0.22026431718061673,1362.0,0.2542372881355932,177.0,0.5096153846153846,104.0,0.2102919346857991,2021.0,0.32650073206442165,683.0,0.30019120458891013,523.0,,,,,,
T20260721-071513,EgoOwn_Single_Method,single,v2-2026-07-04+evidence_cot-v1,0,human_label,492a050,2026-07-21T07:37:21+00:00,EgoSweep_GPT/T20260721-071513/EgoSweep_GPT_EgoOwn_Single_Method_score.json,0.19745815251084936,1.0,3226,0.21558441558441557,0.3318,1155,0.10725356478611284,0.05718954248366013,0.1057,1224,0.030998140111593304,0.2783357245337159,0.3724,697,0.1069435833849969,0.8266666666666667,0.0959,150,0.754804711717297,0.2265,0.0509,0.8267,0.7513,0.20075757575757575,1584.0,0.16678912564290962,1361.0,0.1864406779661017,177.0,0.5673076923076923,104.0,0.16724393864423553,2021.0,0.30307467057101023,683.0,0.17624521072796934,522.0,,,,,,
EgoSweep_Gemini,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:29:27+00:00,EgoSweep_Gemini/EgoSweep_Gemini_EgoOwn_Blind_score.json,0.26340254105980787,1.0,3227,0.157439446366782,0.2647,1156,0.06786488999070343,0.16666666666666666,0.2548,1224,0.11682677409358537,0.5423242467718795,0.4828,697,0.26929036256585065,0.5733333333333334,0.09,150,0.5460179733498606,0.2731,0.0488,0.5733,0.5447,0.25441919191919193,1584.0,0.23861967694566813,1362.0,0.3672316384180791,177.0,0.5480769230769231,104.0,0.2582879762493815,2021.0,0.363103953147877,683.0,0.15296367112810708,523.0,,,,,,
EgoSweep_Gemini,EgoOwn_Single,single,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:28:36+00:00,EgoSweep_Gemini/EgoSweep_Gemini_EgoOwn_Single_score.json,0.43955362678239307,1.0,3226,0.4597402597402597,0.4956,1155,0.30626162430254183,0.31699346405228757,0.4412,1224,0.16584004959702417,0.7101865136298422,0.4359,697,0.4879107253564786,0.02666666666666667,0.0287,150,0.03998760074395536,0.3503,0.031,0.0267,0.0406,0.45896464646464646,1584.0,0.4357090374724467,1361.0,0.4632768361581921,177.0,0.15384615384615385,104.0,0.4438396833250866,2021.0,0.5973645680819912,683.0,0.2164750957854406,522.0,,,,,,
EgoSweep_Gemini,EgoOwn,sparse,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:29:03+00:00,EgoSweep_Gemini/EgoSweep_Gemini_EgoOwn_score.json,0.4632785869228386,0.9996901146575767,3227,0.5346020761245674,0.5332,1156,0.3600867678958785,0.3047385620915033,0.432,1224,0.1558723272389216,0.7101865136298422,0.4575,697,0.45460179733498607,0.06,0.0738,150,0.02912922218779052,0.3741,0.0957,0.06,0.0276,0.4842171717171717,1584.0,0.4544787077826725,1362.0,0.4971751412429379,177.0,0.20192307692307693,104.0,0.4383968332508659,2021.0,0.6486090775988287,683.0,0.3173996175908222,523.0,,,,,,
T20260718-101826,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,90a5257,2026-07-18T12:09:44+00:00,EgoSweep_Gemini/T20260718-101826/EgoSweep_Gemini_EgoOwn_Blind_score.json,0.26340254105980787,1.0,3227,0.157439446366782,0.2647,1156,0.06786488999070343,0.16666666666666666,0.2548,1224,0.11682677409358537,0.5423242467718795,0.4828,697,0.26929036256585065,0.5733333333333334,0.09,150,0.5460179733498606,0.2731,0.0488,0.5733,0.5447,0.25441919191919193,1584.0,0.23861967694566813,1362.0,0.3672316384180791,177.0,0.5480769230769231,104.0,0.2582879762493815,2021.0,0.363103953147877,683.0,0.15296367112810708,523.0,,,,,,
T20260718-101826,EgoOwn_Single,single,v2-2026-07-04,0,human_label,90a5257,2026-07-18T10:55:16+00:00,EgoSweep_Gemini/T20260718-101826/EgoSweep_Gemini_EgoOwn_Single_score.json,0.43955362678239307,1.0,3226,0.4597402597402597,0.4956,1155,0.30626162430254183,0.31699346405228757,0.4412,1224,0.16584004959702417,0.7101865136298422,0.4359,697,0.4879107253564786,0.02666666666666667,0.0287,150,0.03998760074395536,0.3503,0.031,0.0267,0.0406,0.45896464646464646,1584.0,0.4357090374724467,1361.0,0.4632768361581921,177.0,0.15384615384615385,104.0,0.4438396833250866,2021.0,0.5973645680819912,683.0,0.2164750957854406,522.0,,,,,,
T20260718-101826,EgoOwn,sparse,v2-2026-07-04,0,human_label,90a5257,2026-07-18T11:34:57+00:00,EgoSweep_Gemini/T20260718-101826/EgoSweep_Gemini_EgoOwn_score.json,0.4632785869228386,0.9996901146575767,3227,0.5346020761245674,0.5332,1156,0.3600867678958785,0.3047385620915033,0.432,1224,0.1558723272389216,0.7101865136298422,0.4575,697,0.45460179733498607,0.06,0.0738,150,0.02912922218779052,0.3741,0.0957,0.06,0.0276,0.4842171717171717,1584.0,0.4544787077826725,1362.0,0.4971751412429379,177.0,0.20192307692307693,104.0,0.4383968332508659,2021.0,0.6486090775988287,683.0,0.3173996175908222,523.0,,,,,,
T20260718-122558,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,90a5257,2026-07-18T12:26:39+00:00,EgoSweep_Gemini/T20260718-122558/EgoSweep_Gemini_EgoOwn_Blind_score.json,0.26340254105980787,1.0,3227,0.157439446366782,0.2647,1156,0.06786488999070343,0.16666666666666666,0.2548,1224,0.11682677409358537,0.5423242467718795,0.4828,697,0.26929036256585065,0.5733333333333334,0.09,150,0.5460179733498606,0.2731,0.0488,0.5733,0.5447,0.25441919191919193,1584.0,0.23861967694566813,1362.0,0.3672316384180791,177.0,0.5480769230769231,104.0,0.2582879762493815,2021.0,0.363103953147877,683.0,0.15296367112810708,523.0,,,,,,
T20260718-122558,EgoOwn_Single,single,v2-2026-07-04,0,human_label,90a5257,2026-07-18T12:26:10+00:00,EgoSweep_Gemini/T20260718-122558/EgoSweep_Gemini_EgoOwn_Single_score.json,0.43955362678239307,1.0,3226,0.4597402597402597,0.4956,1155,0.30626162430254183,0.31699346405228757,0.4412,1224,0.16584004959702417,0.7101865136298422,0.4359,697,0.4879107253564786,0.02666666666666667,0.0287,150,0.03998760074395536,0.3503,0.031,0.0267,0.0406,0.45896464646464646,1584.0,0.4357090374724467,1361.0,0.4632768361581921,177.0,0.15384615384615385,104.0,0.4438396833250866,2021.0,0.5973645680819912,683.0,0.2164750957854406,522.0,,,,,,
T20260718-122558,EgoOwn,sparse,v2-2026-07-04,0,human_label,90a5257,2026-07-18T12:26:26+00:00,EgoSweep_Gemini/T20260718-122558/EgoSweep_Gemini_EgoOwn_score.json,0.4632785869228386,0.9996901146575767,3227,0.5346020761245674,0.5332,1156,0.3600867678958785,0.3047385620915033,0.432,1224,0.1558723272389216,0.7101865136298422,0.4575,697,0.45460179733498607,0.06,0.0738,150,0.02912922218779052,0.3741,0.0957,0.06,0.0276,0.4842171717171717,1584.0,0.4544787077826725,1362.0,0.4971751412429379,177.0,0.20192307692307693,104.0,0.4383968332508659,2021.0,0.6486090775988287,683.0,0.3173996175908222,523.0,,,,,,
T20260719-002815,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:29:27+00:00,EgoSweep_Gemini/T20260719-002815/EgoSweep_Gemini_EgoOwn_Blind_score.json,0.26340254105980787,1.0,3227,0.157439446366782,0.2647,1156,0.06786488999070343,0.16666666666666666,0.2548,1224,0.11682677409358537,0.5423242467718795,0.4828,697,0.26929036256585065,0.5733333333333334,0.09,150,0.5460179733498606,0.2731,0.0488,0.5733,0.5447,0.25441919191919193,1584.0,0.23861967694566813,1362.0,0.3672316384180791,177.0,0.5480769230769231,104.0,0.2582879762493815,2021.0,0.363103953147877,683.0,0.15296367112810708,523.0,,,,,,
T20260719-002815,EgoOwn_Single,single,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:28:36+00:00,EgoSweep_Gemini/T20260719-002815/EgoSweep_Gemini_EgoOwn_Single_score.json,0.43955362678239307,1.0,3226,0.4597402597402597,0.4956,1155,0.30626162430254183,0.31699346405228757,0.4412,1224,0.16584004959702417,0.7101865136298422,0.4359,697,0.4879107253564786,0.02666666666666667,0.0287,150,0.03998760074395536,0.3503,0.031,0.0267,0.0406,0.45896464646464646,1584.0,0.4357090374724467,1361.0,0.4632768361581921,177.0,0.15384615384615385,104.0,0.4438396833250866,2021.0,0.5973645680819912,683.0,0.2164750957854406,522.0,,,,,,
T20260719-002815,EgoOwn,sparse,v2-2026-07-04,0,human_label,90a5257,2026-07-19T00:29:03+00:00,EgoSweep_Gemini/T20260719-002815/EgoSweep_Gemini_EgoOwn_score.json,0.4632785869228386,0.9996901146575767,3227,0.5346020761245674,0.5332,1156,0.3600867678958785,0.3047385620915033,0.432,1224,0.1558723272389216,0.7101865136298422,0.4575,697,0.45460179733498607,0.06,0.0738,150,0.02912922218779052,0.3741,0.0957,0.06,0.0276,0.4842171717171717,1584.0,0.4544787077826725,1362.0,0.4971751412429379,177.0,0.20192307692307693,104.0,0.4383968332508659,2021.0,0.6486090775988287,683.0,0.3173996175908222,523.0,,,,,,
EgoSweep_Qwen72B,EgoOwn_Blind,blind,v2-2026-07-04,0,human_label,a571aa6,2026-07-19T17:23:47+00:00,EgoSweep_Qwen72B/EgoSweep_Qwen72B_EgoOwn_Blind_score.json,0.23613263092655717,1.0,3227,0.19550173010380623,0.3128,1156,0.08955686396033467,0.23937908496732027,0.3486,1224,0.14161760148744965,0.1750358680057389,0.2874,697,0.04710257204834211,0.8066666666666666,0.0976,150,0.7217229625038736,0.2616,0.052,0.8067,0.7176,0.21906565656565657,1584.0,0.2290748898678414,1362.0,0.3107344632768362,177.0,0.46153846153846156,104.0,0.21375556655121228,2021.0,0.35431918008784774,683.0,0.1682600382409178,523.0,Single≈Blind (Single acc 0.2412 vs Blind 0.2361; image under-utilized). Served via OpenRouter default routing (Nebius/Parasail). EXCLUDE from main table; see ISSUES.md 72B section.,True,,,,
EgoSweep_Qwen72B,EgoOwn_Single,single,v2-2026-07-04,0,human_label,a571aa6,2026-07-19T16:52:45+00:00,EgoSweep_Qwen72B/EgoSweep_Qwen72B_EgoOwn_Single_score.json,0.2411655300681959,0.9996900185988841,3226,0.21731601731601732,0.3264,1155,0.11872287662740236,0.0784313725490196,0.1425,1224,0.03812771233725976,0.48206599713055953,0.4313,697,0.26689398636081835,0.6333333333333333,0.0946,150,0.5759454432734036,0.2487,0.0511,0.6333,0.5731,0.25,1584.0,0.213078618662748,1361.0,0.24293785310734464,177.0,0.47115384615384615,104.0,0.23701138050470064,2021.0,0.3191800878477306,683.0,0.15517241379310345,522.0,Single≈Blind (Single acc 0.2412 vs Blind 0.2361; image under-utilized). Served via OpenRouter default routing (Nebius/Parasail). EXCLUDE from main table; see ISSUES.md 72B section.,True,,,,
EgoSweep_Qwen72B,EgoOwn,sparse,v2-2026-07-04,0,human_label,a571aa6,2026-07-19T17:22:14+00:00,EgoSweep_Qwen72B/EgoSweep_Qwen72B_EgoOwn_score.json,0.3504803222807561,1.0,3227,0.2422145328719723,0.347,1156,0.14192748682987294,0.3088235294117647,0.4362,1224,0.15773163929346143,0.5581061692969871,0.4978,697,0.26836070653858074,0.56,0.1088,150,0.4319801673380849,0.3474,0.0603,0.56,0.4257,0.3402777777777778,1584.0,0.34948604992657856,1362.0,0.3615819209039548,177.0,0.5,104.0,0.3839683325086591,2021.0,0.36749633967789164,683.0,0.1988527724665392,523.0,Single≈Blind (Single acc 0.2412 vs Blind 0.2361; image under-utilized). Served via OpenRouter default routing (Nebius/Parasail). EXCLUDE from main table; see ISSUES.md 72B section.,True,,,,
